step,time,kinetic,potential,total
0,0.00000000,0.00000000,0.00000000,0.00000000
1,0.00200000,0.00017322,0.00000000,0.00017322
2,0.00400000,0.00069287,0.00000000,0.00069287
3,0.00600000,0.00155893,0.00000000,0.00155893
4,0.00800000,0.00277138,0.00000000,0.00277138
5,0.01000000,0.00433019,0.00000000,0.00433019
6,0.01200000,0.00623535,0.00000000,0.00623535
7,0.01400000,0.00848684,0.00000000,0.00848684
8,0.01600000,0.01108463,0.00000000,0.01108463
9,0.01800000,0.01402870,0.00000000,0.01402870
10,0.02000000,0.01731903,0.00000000,0.01731903
11,0.02200000,0.02095561,0.00000000,0.02095561
12,0.02400000,0.02493841,0.00000000,0.02493841
13,0.02600000,0.02926741,0.00000000,0.02926741
14,0.02800000,0.03394259,0.00000000,0.03394259
15,0.03000000,0.03896393,0.00000000,0.03896393
16,0.03200000,0.04433141,0.00000000,0.04433141
17,0.03400000,0.05004500,0.00000000,0.05004500
18,0.03600000,0.05610469,0.00000000,0.05610469
19,0.03800000,0.06251046,0.00000000,0.06251046
20,0.04000000,0.06926228,0.00000000,0.06926228
21,0.04200000,0.07636014,0.00000000,0.07636014
22,0.04400000,0.08380401,0.00000000,0.08380401
23,0.04600000,0.09159387,0.00000000,0.09159387
24,0.04800000,0.09972971,0.00000000,0.09972971
25,0.05000000,0.10821150,0.00000000,0.10821150
26,0.05200000,0.11703921,0.00000000,0.11703921
27,0.05400000,0.12621284,0.00000000,0.12621284
28,0.05600000,0.13573236,0.00000000,0.13573236
29,0.05800000,0.14559774,0.00000000,0.14559774
30,0.06000000,0.15580897,0.00000000,0.15580897
31,0.06200000,0.16636603,0.00000000,0.16636603
32,0.06400000,0.17726890,0.00000000,0.17726890
33,0.06600000,0.18851755,0.00000000,0.18851755
34,0.06800000,0.20011196,0.00000000,0.20011196
35,0.07000000,0.21205212,0.00000000,0.21205212
36,0.07200000,0.22433800,0.00000000,0.22433800
37,0.07400000,0.23696959,0.00000000,0.23696959
38,0.07600000,0.24994685,0.00000000,0.24994685
39,0.07800000,0.26326978,0.00000000,0.26326978
40,0.08000000,0.27693834,0.00000000,0.27693834
41,0.08200000,0.29095253,0.00000000,0.29095253
42,0.08400000,0.30531231,0.00000000,0.30531231
43,0.08600000,0.32001767,0.00000000,0.32001767
44,0.08800000,0.33506859,0.00000000,0.33506859
45,0.09000000,0.35046505,0.00000000,0.35046505
46,0.09200000,0.36620702,0.00000000,0.36620702
47,0.09400000,0.38229448,0.00000000,0.38229448
48,0.09600000,0.39872742,0.00000000,0.39872742
49,0.09800000,0.41550582,0.00000000,0.41550582
50,0.10000000,0.43262964,0.00000000,0.43262964
51,0.10200000,0.45009888,0.00000000,0.45009888
52,0.10400000,0.46791350,0.00000000,0.46791350
53,0.10600000,0.48607350,0.00000000,0.48607350
54,0.10800000,0.50457885,0.00000000,0.50457885
55,0.11000000,0.52342953,0.00000000,0.52342953
56,0.11200000,0.54262551,0.00000000,0.54262551
57,0.11400000,0.56216679,0.00000000,0.56216679
58,0.11600000,0.58205332,0.00000000,0.58205332
59,0.11800000,0.60228511,0.00000000,0.60228511
60,0.12000000,0.62286212,0.00000000,0.62286212
61,0.12200000,0.64378433,0.00000000,0.64378433
62,0.12400000,0.66505173,0.00000000,0.66505173
63,0.12600000,0.68666429,0.00000000,0.68666429
64,0.12800000,0.70862200,0.00000000,0.70862200
65,0.13000000,0.73092482,0.00000000,0.73092482
66,0.13200000,0.75357275,0.00000000,0.75357275
67,0.13400000,0.77656576,0.00000000,0.77656576
68,0.13600000,0.79990382,0.00000000,0.79990382
69,0.13800000,0.82358693,0.00000000,0.82358693
70,0.14000000,0.84761505,0.00000000,0.84761505
71,0.14200000,0.87198817,0.00000000,0.87198817
72,0.14400000,0.89670626,0.00000000,0.89670626
73,0.14600000,0.92176932,0.00000000,0.92176932
74,0.14800000,0.94717730,0.00000000,0.94717730
75,0.15000000,0.97293020,0.00000000,0.97293020
76,0.15200000,0.99902800,0.00000000,0.99902800
77,0.15400000,1.02547067,0.00000000,1.02547067
78,0.15600000,1.05225819,0.00000000,1.05225819
79,0.15800000,1.07939054,0.00000000,1.07939054
80,0.16000000,1.10686770,0.00000000,1.10686770
81,0.16200000,1.13468966,0.00000000,1.13468966
82,0.16400000,1.16285638,0.00000000,1.16285638
83,0.16600000,1.19136785,0.00000000,1.19136785
84,0.16800000,1.22022405,0.00000000,1.22022405
85,0.17000000,1.24942495,0.00000000,1.24942495
86,0.17200000,1.27897055,0.00000000,1.27897055
87,0.17400000,1.30886080,0.00000000,1.30886080
88,0.17600000,1.33909571,0.00000000,1.33909571
89,0.17800000,1.36967524,0.00000000,1.36967524
90,0.18000000,1.40059937,0.00000000,1.40059937
91,0.18200000,1.43186808,0.00000000,1.43186808
92,0.18400000,1.46348136,0.00000000,1.46348136
93,0.18600000,1.49543918,0.00000000,1.49543918
94,0.18800000,1.52774152,0.00000000,1.52774152
95,0.19000000,1.56038836,0.00000000,1.56038836
96,0.19200000,1.59337968,0.00000000,1.59337968
97,0.19400000,1.62671546,0.00000000,1.62671546
98,0.19600000,1.66039567,0.00000000,1.66039567
99,0.19800000,1.69442031,0.00000000,1.69442031
100,0.20000000,1.72878934,0.00000000,1.72878934
101,0.20200000,1.76350275,0.00000000,1.76350275
102,0.20400000,1.79856051,0.00000000,1.79856051
103,0.20600000,1.83396261,0.00000000,1.83396261
104,0.20800000,1.86970902,0.00000000,1.86970902
105,0.21000000,1.90579972,0.00000000,1.90579972
106,0.21200000,1.94223470,0.00000000,1.94223470
107,0.21400000,1.97901393,0.00000000,1.97901393
108,0.21600000,2.01613739,0.00000000,2.01613739
109,0.21800000,2.05360506,0.00000000,2.05360506
110,0.22000000,2.09141692,0.00000000,2.09141692
111,0.22200000,2.12957295,0.00000000,2.12957295
112,0.22400000,2.16807313,0.00000000,2.16807313
113,0.22600000,2.20691744,0.00000000,2.20691744
114,0.22800000,2.24610585,0.00000000,2.24610585
115,0.23000000,2.28563835,0.00000000,2.28563835
116,0.23200000,2.32551492,0.00000000,2.32551492
117,0.23400000,2.36573553,0.00000000,2.36573553
118,0.23600000,2.40630017,0.00000000,2.40630017
119,0.23800000,2.44720881,0.00000000,2.44720881
120,0.24000000,2.48846143,0.00000000,2.48846143
121,0.24200000,2.53005802,0.00000000,2.53005802
122,0.24400000,2.57199854,0.00000000,2.57199854
123,0.24600000,2.61428299,0.00000000,2.61428299
124,0.24800000,2.65691134,0.00000000,2.65691134
125,0.25000000,2.69988357,0.00000000,2.69988357
126,0.25200000,2.74319966,0.00000000,2.74319966
127,0.25400000,2.78685958,0.00000000,2.78685958
128,0.25600000,2.83086333,0.00000000,2.83086333
129,0.25800000,2.87521087,0.00000000,2.87521087
130,0.26000000,2.91990219,0.00000000,2.91990219
131,0.26200000,2.96493726,0.00000000,2.96493726
132,0.26400000,3.01031607,0.00000000,3.01031607
133,0.26600000,3.05603859,0.00000000,3.05603859
134,0.26800000,3.10210481,0.00000000,3.10210481
135,0.27000000,3.14851470,0.00000000,3.14851470
136,0.27200000,3.19526825,0.00000000,3.19526825
137,0.27400000,3.24236542,0.00000000,3.24236542
138,0.27600000,3.28980621,0.00000000,3.28980621
139,0.27800000,3.33759058,0.00000000,3.33759058
140,0.28000000,3.38571853,0.00000000,3.38571853
141,0.28200000,3.43419003,0.00000000,3.43419003
142,0.28400000,3.48300505,0.00000000,3.48300505
143,0.28600000,3.53216358,0.00000000,3.53216358
144,0.28800000,3.58166560,0.00000000,3.58166560
145,0.29000000,3.63151109,0.00000000,3.63151109
146,0.29200000,3.68170002,0.00000000,3.68170002
147,0.29400000,3.73223238,0.00000000,3.73223238
148,0.29600000,3.78310814,0.00000000,3.78310814
149,0.29800000,3.83432729,0.00000000,3.83432729
150,0.30000000,3.88588980,0.00000000,3.88588980
151,0.30200000,3.93779565,0.00000000,3.93779565
152,0.30400000,3.99004483,0.00000000,3.99004483
153,0.30600000,4.04263730,0.00000000,4.04263730
154,0.30800000,4.09557306,0.00000000,4.09557306
155,0.31000000,4.14885208,0.00000000,4.14885208
156,0.31200000,4.20247434,0.00000000,4.20247434
157,0.31400000,4.25643981,0.00000000,4.25643981
158,0.31600000,4.31074849,0.00000000,4.31074849
159,0.31800000,4.36540034,0.00000000,4.36540034
160,0.32000000,4.42039535,0.00000000,4.42039535
161,0.32200000,4.47573350,0.00000000,4.47573350
162,0.32400000,4.53141476,0.00000000,4.53141476
163,0.32600000,4.58743912,0.00000000,4.58743912
164,0.32800000,4.64380655,0.00000000,4.64380655
165,0.33000000,4.70051703,0.00000000,4.70051703
166,0.33200000,4.75757055,0.00000000,4.75757055
167,0.33400000,4.81496708,0.00000000,4.81496708
168,0.33600000,4.87270661,0.00000000,4.87270661
169,0.33800000,4.93078910,0.00000000,4.93078910
170,0.34000000,4.98921455,0.00000000,4.98921455
171,0.34200000,5.04798292,0.00000000,5.04798292
172,0.34400000,5.10709421,0.00000000,5.10709421
173,0.34600000,5.16654838,0.00000000,5.16654838
174,0.34800000,5.22634542,0.00000000,5.22634542
175,0.35000000,5.28648531,0.00000000,5.28648531
176,0.35200000,5.34696803,0.00000000,5.34696803
177,0.35400000,5.40779355,0.00000000,5.40779355
178,0.35600000,5.46896186,0.00000000,5.46896186
179,0.35800000,5.53047294,0.00000000,5.53047294
180,0.36000000,5.59232676,0.00000000,5.59232676
181,0.36200000,5.65452330,0.00000000,5.65452330
182,0.36400000,5.71706255,0.00000000,5.71706255
183,0.36600000,5.77994447,0.00000000,5.77994447
184,0.36800000,5.84316907,0.00000000,5.84316907
185,0.37000000,5.90673630,0.00000000,5.90673630
186,0.37200000,5.97064615,0.00000000,5.97064615
187,0.37400000,6.03489861,0.00000000,6.03489861
188,0.37600000,6.09949364,0.00000000,6.09949364
189,0.37800000,6.16443123,0.00000000,6.16443123
190,0.38000000,6.22971136,0.00000000,6.22971136
191,0.38200000,6.29533401,0.00000000,6.29533401
192,0.38400000,6.36129916,0.00000000,6.36129916
193,0.38600000,6.42760678,0.00000000,6.42760678
194,0.38800000,6.49425686,0.00000000,6.49425686
195,0.39000000,6.56124938,0.00000000,6.56124938
196,0.39200000,6.62858431,0.00000000,6.62858431
197,0.39400000,6.69626163,0.00000000,6.69626163
198,0.39600000,6.76428133,0.00000000,6.76428133
199,0.39800000,6.83264338,0.00000000,6.83264338
200,0.40000000,6.90134776,0.00000000,6.90134776
201,0.40200000,6.97039446,0.00000000,6.97039446
202,0.40400000,7.03978345,0.00000000,7.03978345
203,0.40600000,7.10951470,0.00000000,7.10951470
204,0.40800000,7.17958821,0.00000000,7.17958821
205,0.41000000,7.25000395,0.00000000,7.25000395
206,0.41200000,7.32076189,0.00000000,7.32076189
207,0.41400000,7.39186203,0.00000000,7.39186203
208,0.41600000,7.46330433,0.00000000,7.46330433
209,0.41800000,7.53508878,0.00000000,7.53508878
210,0.42000000,7.60721535,0.00000000,7.60721535
211,0.42200000,7.67968404,0.00000000,7.67968404
212,0.42400000,7.75249480,0.00000000,7.75249480
213,0.42600000,7.82564764,0.00000000,7.82564764
214,0.42800000,7.89914251,0.00000000,7.89914251
215,0.43000000,7.97297941,0.00000000,7.97297941
216,0.43200000,8.04715831,0.00000000,8.04715831
217,0.43400000,8.12167920,0.00000000,8.12167920
218,0.43600000,8.19654205,0.00000000,8.19654205
219,0.43800000,8.27174684,0.00000000,8.27174684
220,0.44000000,8.34729355,0.00000000,8.34729355
221,0.44200000,8.42318216,0.00000000,8.42318216
222,0.44400000,8.49941265,0.00000000,8.49941265
223,0.44600000,8.57598500,0.00000000,8.57598500
224,0.44800000,8.65289918,0.00000000,8.65289918
225,0.45000000,8.73015519,0.00000000,8.73015519
226,0.45200000,8.80775299,0.00000000,8.80775299
227,0.45400000,8.88569257,0.00000000,8.88569257
228,0.45600000,8.96397391,0.00000000,8.96397391
229,0.45800000,9.04259698,0.00000000,9.04259698
230,0.46000000,9.12156176,0.00000000,9.12156176
231,0.46200000,9.20086824,0.00000000,9.20086824
232,0.46400000,9.28051640,0.00000000,9.28051640
233,0.46600000,9.36050621,0.00000000,9.36050621
234,0.46800000,9.44083765,0.00000000,9.44083765
235,0.47000000,9.52151070,0.00000000,9.52151070
236,0.47200000,9.60252535,0.00000000,9.60252535
237,0.47400000,9.68388156,0.00000000,9.68388156
238,0.47600000,9.76557933,0.00000000,9.76557933
239,0.47800000,9.84761863,0.00000000,9.84761863
240,0.48000000,9.92999943,0.00000000,9.92999943
241,0.48200000,10.01272173,0.00000000,10.01272173
242,0.48400000,10.09578549,0.00000000,10.09578549
243,0.48600000,10.17919070,0.00000000,10.17919070
244,0.48800000,10.26293734,0.00000000,10.26293734
245,0.49000000,10.34702539,0.00000000,10.34702539
246,0.49200000,10.43145482,0.00000000,10.43145482
247,0.49400000,10.51622561,0.00000000,10.51622561
248,0.49600000,10.60133776,0.00000000,10.60133776
249,0.49800000,10.68679122,0.00000000,10.68679122
250,0.50000000,10.77258599,0.00000000,10.77258599
251,0.50200000,10.85872205,0.00000000,10.85872205
252,0.50400000,10.94519937,0.00000000,10.94519937
253,0.50600000,11.03201792,0.00000000,11.03201792
254,0.50800000,11.11917771,0.00000000,11.11917771
255,0.51000000,11.20667869,0.00000000,11.20667869
256,0.51200000,11.29452085,0.00000000,11.29452085
257,0.51400000,11.38270417,0.00000000,11.38270417
258,0.51600000,11.47122864,0.00000000,11.47122864
259,0.51800000,11.56009422,0.00000000,11.56009422
260,0.52000000,11.64930090,0.00000000,11.64930090
261,0.52200000,11.73884866,0.00000000,11.73884866
262,0.52400000,11.82873747,0.00000000,11.82873747
263,0.52600000,11.91896733,0.00000000,11.91896733
264,0.52800000,12.00953820,0.00000000,12.00953820
265,0.53000000,12.10045006,0.00000000,12.10045006
266,0.53200000,12.19170290,0.00000000,12.19170290
267,0.53400000,12.28329670,0.00000000,12.28329670
268,0.53600000,12.37523143,0.00000000,12.37523143
269,0.53800000,12.46750707,0.00000000,12.46750707
270,0.54000000,12.56012361,0.00000000,12.56012361
271,0.54200000,12.65308101,0.00000000,12.65308101
272,0.54400000,12.74637928,0.00000000,12.74637928
273,0.54600000,12.84001837,0.00000000,12.84001837
274,0.54800000,12.93399827,0.00000000,12.93399827
275,0.55000000,13.02831897,0.00000000,13.02831897
276,0.55200000,13.12298043,0.00000000,13.12298043
277,0.55400000,13.21798265,0.00000000,13.21798265
278,0.55600000,13.31332559,0.00000000,13.31332559
279,0.55800000,13.40900924,0.00000000,13.40900924
280,0.56000000,13.50503358,0.00000000,13.50503358
281,0.56200000,13.60139859,0.00000000,13.60139859
282,0.56400000,13.69810424,0.00000000,13.69810424
283,0.56600000,13.79515052,0.00000000,13.79515052
284,0.56800000,13.89253741,0.00000000,13.89253741
285,0.57000000,13.99026488,0.00000000,13.99026488
286,0.57200000,14.08833292,0.00000000,14.08833292
287,0.57400000,14.18674150,0.00000000,14.18674150
288,0.57600000,14.28549061,0.00000000,14.28549061
289,0.57800000,14.38458021,0.00000000,14.38458021
290,0.58000000,14.48401031,0.00000000,14.48401031
291,0.58200000,14.58378086,0.00000000,14.58378086
292,0.58400000,14.68389186,0.00000000,14.68389186
293,0.58600000,14.78434327,0.00000000,14.78434327
294,0.58800000,14.88513509,0.00000000,14.88513509
295,0.59000000,14.98626729,0.00000000,14.98626729
296,0.59200000,15.08773985,0.00000000,15.08773985
297,0.59400000,15.18955274,0.00000000,15.18955274
298,0.59600000,15.29170596,0.00000000,15.29170596
299,0.59800000,15.39419947,0.00000000,15.39419947
300,0.60000000,15.49703327,0.00000000,15.49703327
301,0.60200000,15.60020732,0.00000000,15.60020732
