step,time,kinetic,potential,total
0,0.00000000,0.00000000,0.00000000,0.00000000
1,0.00200000,0.00126469,0.00000469,0.00126938
2,0.00400000,0.00491412,0.00006674,0.00498086
3,0.00600000,0.01071488,0.00029314,0.01100802
4,0.00800000,0.01843237,0.00080347,0.01923584
5,0.01000000,0.02783648,0.00171350,0.02954998
6,0.01200000,0.03869987,0.00313468,0.04183454
7,0.01400000,0.05079673,0.00517654,0.05597328
8,0.01600000,0.06390260,0.00794805,0.07185066
9,0.01800000,0.07779444,0.01155770,0.08935214
10,0.02000000,0.09225070,0.01611331,0.10836401
11,0.02200000,0.10705134,0.02172185,0.12877319
12,0.02400000,0.12197784,0.02848926,0.15046710
13,0.02600000,0.13681333,0.03652031,0.17333364
14,0.02800000,0.15134283,0.04591842,0.19726125
15,0.03000000,0.16535390,0.05678523,0.22213913
16,0.03200000,0.17863788,0.06921973,0.24785761
17,0.03400000,0.19099203,0.08331666,0.27430869
18,0.03600000,0.20222280,0.09916390,0.30138671
19,0.03800000,0.21215032,0.11683874,0.32898906
20,0.04000000,0.22061383,0.13640302,0.35701685
21,0.04200000,0.22747759,0.15789752,0.38537510
22,0.04400000,0.23263633,0.18133629,0.41397263
23,0.04600000,0.23601961,0.20670168,0.44272130
24,0.04800000,0.23759415,0.23394081,0.47153496
25,0.05000000,0.23736398,0.26296410,0.50032807
26,0.05200000,0.23536847,0.29364598,0.52901445
27,0.05400000,0.23167862,0.32582762,0.55750624
28,0.05600000,0.22639228,0.35932097,0.58571326
29,0.05800000,0.21962907,0.39391384,0.61354290
30,0.06000000,0.21152541,0.42937494,0.64090035
31,0.06200000,0.20223025,0.46545882,0.66768906
32,0.06400000,0.19190143,0.50191014,0.69381157
33,0.06600000,0.18070292,0.53846727,0.71917018
34,0.06800000,0.16880265,0.57486526,0.74366790
35,0.07000000,0.15637088,0.61083828,0.76720916
36,0.07200000,0.14357895,0.64612167,0.78970062
37,0.07400000,0.13059810,0.68045381,0.81105190
38,0.07600000,0.11759841,0.71357789,0.83117630
39,0.07800000,0.10474756,0.74524386,0.84999142
40,0.08000000,0.09220944,0.77521036,0.86741980
41,0.08200000,0.08014248,0.80324705,0.88338953
42,0.08400000,0.06869777,0.82913699,0.89783476
43,0.08600000,0.05801702,0.85267924,0.91069626
44,0.08800000,0.04823037,0.87369150,0.92192187
45,0.09000000,0.03945438,0.89201265,0.93146703
46,0.09200000,0.03179005,0.90750510,0.93929515
47,0.09400000,0.02532131,0.92005668,0.94537799
48,0.09600000,0.02011383,0.92958212,0.94969595
49,0.09800000,0.01621435,0.93602389,0.95223825
50,0.10000000,0.01365046,0.93935252,0.95300298
51,0.10200000,0.01243079,0.93956622,0.95199701
52,0.10400000,0.01254563,0.93669014,0.94923578
53,0.10600000,0.01396773,0.93077517,0.94474290
54,0.10800000,0.01665327,0.92189643,0.93854970
55,0.11000000,0.02054299,0.91015166,0.93069466
56,0.11200000,0.02556329,0.89565948,0.92122277
57,0.11400000,0.03162733,0.87855761,0.91018495
58,0.11600000,0.03863614,0.85900121,0.89763735
59,0.11800000,0.04647974,0.83716110,0.88364084
60,0.12000000,0.05503834,0.81322212,0.86826047
61,0.12200000,0.06418356,0.78738141,0.85156497
62,0.12400000,0.07377979,0.75984664,0.83362644
63,0.12600000,0.08368572,0.73083422,0.81451995
64,0.12800000,0.09375599,0.70056734,0.79432333
65,0.13000000,0.10384299,0.66927394,0.77311693
66,0.13200000,0.11379880,0.63718462,0.75098343
67,0.13400000,0.12347725,0.60453039,0.72800764
68,0.13600000,0.13273596,0.57154040,0.70427636
69,0.13800000,0.14143851,0.53843970,0.67987822
70,0.14000000,0.14945646,0.50544696,0.65490342
71,0.14200000,0.15667130,0.47277233,0.62944363
72,0.14400000,0.16297634,0.44061534,0.60359168
73,0.14600000,0.16827830,0.40916306,0.57744136
74,0.14800000,0.17249879,0.37858835,0.55108714
75,0.15000000,0.17557554,0.34904838,0.52462392
76,0.15200000,0.17746332,0.32068336,0.49814668
77,0.15400000,0.17813466,0.29361553,0.47175019
78,0.15600000,0.17758027,0.26794837,0.44552864
79,0.15800000,0.17580917,0.24376613,0.41957530
80,0.16000000,0.17284854,0.22113361,0.39398215
81,0.16200000,0.16874331,0.20009614,0.36883945
82,0.16400000,0.16355540,0.18067996,0.34423536
83,0.16600000,0.15736274,0.16289276,0.32025550
84,0.16800000,0.15025802,0.14672455,0.29698257
85,0.17000000,0.14234720,0.13214869,0.27449589
86,0.17200000,0.13374776,0.11912327,0.25287103
87,0.17400000,0.12458682,0.10759258,0.23217940
88,0.17600000,0.11499908,0.09748885,0.21248793
89,0.17800000,0.10512461,0.08873407,0.19385869
90,0.18000000,0.09510668,0.08124196,0.17634864
91,0.18200000,0.08508941,0.07491998,0.16000939
92,0.18400000,0.07521552,0.06967146,0.14488698
93,0.18600000,0.06562412,0.06539763,0.13102175
94,0.18800000,0.05644855,0.06199967,0.11844822
95,0.19000000,0.04781438,0.05938068,0.10719506
96,0.19200000,0.03983755,0.05744758,0.09728513
97,0.19400000,0.03262266,0.05611278,0.08873544
98,0.19600000,0.02626154,0.05529581,0.08155735
99,0.19800000,0.02083199,0.05492465,0.07575664
100,0.20000000,0.01639676,0.05493695,0.07133371
101,0.20200000,0.01300286,0.05528094,0.06828380
